,Postal Code,Latitude,Longitude,Borough,Neighbourhood
87,M7Y,43.6627439,-79.321558,East Toronto,Business Reply Mail Processing Centre 969 Eastern
88,M8V,43.6056466,-79.50132070000001,Etobicoke,"Humber Bay Shores ,Mimico South ,New Toronto"
89,M8W,43.60241370000001,-79.54348409999999,Etobicoke,"Alderwood ,Long Branch"
90,M8X,43.653653600000005,-79.5069436,Etobicoke,"The Kingsway ,Montgomery Road ,Old Mill North"
91,M8Y,43.6362579,-79.49850909999999,Etobicoke,"Humber Bay ,King's Mill Park ,Kingsway Park South East ,Mimico NE ,Old Mill South ,The Queensway East ,Royal York South East ,Sunnylea"
92,M8Z,43.6288408,-79.52099940000001,Etobicoke,"Kingsway Park South West ,Mimico NW ,The Queensway West ,Royal York South West ,South of Bloor"
93,M9A,43.6678556,-79.53224240000002,Etobicoke,Islington Avenue
94,M9B,43.6509432,-79.55472440000001,Etobicoke,"Cloverdale ,Islington ,Martin Grove ,Princess Gardens ,West Deane Park"
95,M9C,43.6435152,-79.57720079999999,Etobicoke,"Bloordale Gardens ,Eringate ,Markland Wood ,Old Burnhamthorpe"
96,M9L,43.7563033,-79.56596329999999,North York,Humber Summit
97,M9M,43.7247659,-79.53224240000002,North York,"Emery ,Humberlea"
98,M9N,43.706876,-79.51818840000001,York,Weston
99,M9P,43.696319,-79.53224240000002,Etobicoke,Westmount
100,M9R,43.6889054,-79.55472440000001,Etobicoke,"Kingsview Village ,Martin Grove Gardens ,Richview Gardens ,St. Phillips"
101,M9V,43.739416399999996,-79.5884369,Etobicoke,"Albion Gardens ,Beaumond Heights ,Humbergate ,Jamestown ,Mount Olive ,Silverstone ,South Steeles ,Thistletown"
102,M9W,43.706748299999994,-79.5940544,Etobicoke,Northwest
